qid,state_name,lat,lon,name_en,name_hi,name_ta,name_te,name_kn,name_ml,name_bn,name_or,name_mr,name_gu,image_url,deity,religion,architecture_style,commissioned_by,founded_by,inception,heritage_status,inscription,commons_category,wiki_image_url,best_image_url,image_license,image_author,wikipedia_en
Q15240864,Kerala,8.501700,76.991900,Kusacode Shri Mahadeva Temple,,குசாகோட் மகாதேவர் கோயில்,,,കുസാകോഡ് ശ്രീ മഹാദേവ ക്ഷേത്രം,,,,,,Shiva,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Kusacode_Shri_Mahadeva_Temple
Q15240904,Kerala,10.537290,76.207000,Kuttankulangara Sri Krishna Temple,,குட்டங்குளங்கரா ஸ்ரீ கிருஷ்ணர் கோயில்,,,കുറ്റൻകുളങ്ങര ശ്രീകൃഷ്ണക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kuttankulangara.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kuttankulangara.jpg?width=640,,,https://en.wikipedia.org/wiki/Kuttankulangara_Sri_Krishna_Temple
Q15256542,Uttarakhand,29.120000,78.570000,Moteshwar Mahadev,मोटेश्वर महादेव मन्दिर,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/BSM007.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/BSM007.jpg?width=640,,,https://en.wikipedia.org/wiki/Moteshwar_Mahadev
Q15260198,Kerala,8.470000,76.960000,Mukkolakkal Bhagawathi Temple,,முக்கோலக்கல் பகவதி கோயில்,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Mukkolakkal_Bhagawathi_Temple
Q15260943,Karnataka,15.387361,75.716556,"Nannesvara Temple, Lakkundi",,,"నన్నేశ్వర దేవాలయం, లక్కుండి",,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/11th%20century%20Nannesvara%20temple%2C%20Lakkundi%2C%20Karnataka%20India%20-%2003.jpg?width=640,Shiva,,,,,1100-01-01T00:00:00Z,Monument of National Importance,,"Nannesvara Temple, Lakkundi",,http://commons.wikimedia.org/wiki/Special:FilePath/11th%20century%20Nannesvara%20temple%2C%20Lakkundi%2C%20Karnataka%20India%20-%2003.jpg?width=640,,,"https://en.wikipedia.org/wiki/Nannesvara_Temple,_Lakkundi"
Q15261008,Odisha,20.243055,85.835000,Narayani Temple,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Narayani%201.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Narayani%201.jpg?width=640,,,https://en.wikipedia.org/wiki/Narayani_Temple
Q15265274,Tamil Nadu,10.366667,78.850000,Panchavarnaswamy Temple,,உறையூர் பஞ்சவர்ணேஸ்வரர் கோயில்,పంచవర్ణస్వామి దేవస్థానం,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Panchavarnaswamy12.jpg?width=640,,,Dravidian architecture,,,,,,Panchavarnaswamy Temple,,http://commons.wikimedia.org/wiki/Special:FilePath/Panchavarnaswamy12.jpg?width=640,,,https://en.wikipedia.org/wiki/Panchavarnaswamy_Temple
Q15265664,Tamil Nadu,22.520000,88.341944,Pathrakaliamman Temple,,பத்ரகாளியம்மன் கோயில்,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bowbarracks%20christmas.JPG?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bowbarracks%20christmas.JPG?width=640,,,https://en.wikipedia.org/wiki/Pathrakaliamman_Temple
Q15268483,,12.897991,80.235450,"Prathyangira Devi Temple, Shollinganallur",,,,,,,,,,,,,,,,,,,,,,,,"https://en.wikipedia.org/wiki/Prathyangira_Devi_Temple,_Shollinganallur"
Q15271554,Tamil Nadu,10.957208,79.373659,"Ramaswamy Temple, Kumbakonam","रामास्वामी मंदिर, कुंभकोणम","ராமசுவாமி கோயில், கும்பகோணம்","రామస్వామి ఆలయం, కుంభకోణం",,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kumbakonam%20Ramaswamy%20Temple.jpg?width=640,,,,,,,,,"Ramaswamy Temple, Kumbakonam",,http://commons.wikimedia.org/wiki/Special:FilePath/Kumbakonam%20Ramaswamy%20Temple.jpg?width=640,,,"https://en.wikipedia.org/wiki/Ramaswamy_Temple,_Kumbakonam"
Q15271611,Karnataka,14.007805,75.674737,"Rameshvara Temple, Koodli",,,,"ರಾಮೇಶ್ವರ ದೇವಸ್ಥಾನ, ಕೂಡ್ಲಿ",,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Temple%20at%20Kudli.jpg?width=640,,,,,,,Monument of National Importance,,"Rameshvara Temple, Koodli",,http://commons.wikimedia.org/wiki/Special:FilePath/Temple%20at%20Kudli.jpg?width=640,,,"https://en.wikipedia.org/wiki/Rameshvara_Temple,_Koodli"
Q15274355,Rajasthan,24.736111,73.720833,Sahastra Bahu Temples,,சகஸ்ரபாகு கோயில்கள்,,,,সহস্র বাহু মন্দির,,,સહસ્ત્ર બાહુ મંદિર,http://commons.wikimedia.org/wiki/Special:FilePath/Nagda-04-Sas%20Bahu-2018-gje.jpg?width=640,,,,,,,Monument of National Importance,,Sahasra Bahu Temples,,http://commons.wikimedia.org/wiki/Special:FilePath/Nagda-04-Sas%20Bahu-2018-gje.jpg?width=640,,,https://en.wikipedia.org/wiki/Sahasra_Bahu_Temples
Q15275557,Karnataka,12.819444,76.753611,"Saumyakeshava Temple, Nagamangala",,"சௌமியகேசவர் கோயில், நாகமங்கலம்","సౌమ్యకేశవ దేవాలయం, నాగమంగళ","ಸೌಮ್ಯಕೇಶವ ದೇವಸ್ಥಾನ, ನಾಗಮಂಗಲ",,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gopura%20%28main%20tower%29%20of%20Saumyakeshava%20temple%20at%20Nagamangala.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gopura%20%28main%20tower%29%20of%20Saumyakeshava%20temple%20at%20Nagamangala.jpg?width=640,,,"https://en.wikipedia.org/wiki/Saumyakeshava_Temple,_Nagamangala"
Q15277455,Karnataka,14.820000,76.219722,Shri Guru Kottureshwara Temple,श्री गुरु कोट्टुरेश्वरा मंदिर,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kottureshwara%20Belli%20Theru.JPG?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kottureshwara%20Belli%20Theru.JPG?width=640,,,https://en.wikipedia.org/wiki/Shri_Guru_Kottureshwara_Temple
Q15277622,Odisha,20.264722,85.861111,Siddhesvara Siva Temple,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Siddhesvara_Siva_Temple
Q15302773,Kerala,9.628948,76.313964,Kanichukulangara Devi Temple,,கனிச்சுகுளங்கரை தேவி கோயில்,,,കണിച്ചുകുളങ്ങര ദേവീക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kanichukulangara%20Devi%20Temple.jpg?width=640,,,,,,,,,Kanichukulangara Devi Temple,,http://commons.wikimedia.org/wiki/Special:FilePath/Kanichukulangara%20Devi%20Temple.jpg?width=640,,,https://en.wikipedia.org/wiki/Kanichukulangara_Devi_Temple
Q1531614,,12.942894,77.568208,Dodda Ganeshana Gudi,बासवांगुडी मंदिर,,దొడ్డ బసవన్న దేవాలయం,ದೊಡ್ಡ ಗಣೇಶನ ಗುಡಿ,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dodda%20Ganeshana%20Gudi%20Hindu%20temple%2C%20Basavanagudi%2C%20Karnataka%2C%20India.jpg?width=640,,,,,,,,,Bull Temple,https://upload.wikimedia.org/wikipedia/commons/8/86/Dodda_Ganeshana_Gudi_Hindu_temple%2C_Basavanagudi%2C_Karnataka%2C_India.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/Dodda_Ganeshana_Gudi_Hindu_temple%2C_Basavanagudi%2C_Karnataka%2C_India.jpg,,,https://en.wikipedia.org/wiki/Dodda_Basavana_Gudi
Q15575432,Kerala,8.353306,77.105111,Sree Shivashakthi Mahaganapathi temple,,சிவசக்தி மகாகணபதி கோயில்,,,കീഴമ്മാകം ശ്രീ ശിവശക്തി മഹാഗണപതി ക്ഷേത്രം,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Sree_Shivashakthi_Mahaganapathi_Temple
Q15644573,,26.310000,85.814445,Ahalya Sthan,अहिल्या स्थान,அகல்யா ஸ்தானம்,అహల్య స్థాన్,,,,,अहल्या स्थान,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/95/Ahalya_Sthan_Mandir.jpg,https://upload.wikimedia.org/wikipedia/commons/9/95/Ahalya_Sthan_Mandir.jpg,,,https://en.wikipedia.org/wiki/Ahalya_Sthan
Q15646113,Madhya Pradesh,23.218174,75.768618,Kal Bhairav temple,काल भैरव मंदिर,உஜ்ஜைனி காலபைரவர் கோயில்,ఉజ్జయిని కాలభైరవ దేవాలయం,ಕಾಲ್ ಭೈರವ್ ದೇವಾಲಯ,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kal%20Bhairav%20temple%20Ujjain.jpg?width=640,Shiva,,,,,,,,"Kal Bhairav temple, Ujjain",,http://commons.wikimedia.org/wiki/Special:FilePath/Kal%20Bhairav%20temple%20Ujjain.jpg?width=640,,,"https://en.wikipedia.org/wiki/Kal_Bhairav_Temple,_Ujjain"
